"DT_INCLUSAO";"Qualificação_Municípios.Região Covid-19";"Total de Casos";"Cod_Região";"Cod_Macro"
"06/06/2020";"Santa Rosa - R14";6;14;"MI"
"06/06/2020";"Santo Ângelo - R11";5;11;"MI"
"06/06/2020";"Erechim - R16";26;16;"NO"
"10/06/2020";"Novo Hamburgo - R07";19;7;"ME"
"10/06/2020";"Caxias do Sul - R23, R24, R25, R26";102;23;"SE"
"10/06/2020";"Lajeado - R29, R30";99;29;"VA"
"10/06/2020";"Porto Alegre - R10";113;10;"ME"
"10/06/2020";"Canoas - R08";38;8;"ME"
"10/06/2020";"Uruguaiana - R03";22;3;"CO"
"10/06/2020";"Erechim - R16";40;16;"NO"
"10/06/2020";"Passo Fundo - R17, R18, R19";228;17;"NO"
"10/06/2020";"Cachoeira do Sul - R27";11;27;"VA"
"11/06/2020";"Capão da Canoa - R04, R05";12;4;"ME"
"11/06/2020";"Cruz Alta - R12";16;12;"MI"
"11/06/2020";"Erechim - R16";38;16;"NO"
"05/06/2020";"Porto Alegre - R10";146;10;"ME"
"05/06/2020";"Ijuí - R13";3;13;"MI"
"09/06/2020";"Porto Alegre - R10";29;10;"ME"
"09/06/2020";"Cachoeira do Sul - R27";18;27;"VA"
"12/06/2020";"Cachoeira do Sul - R27";10;27;"VA"
"12/06/2020";"Novo Hamburgo - R07";8;7;"ME"
"12/06/2020";"Caxias do Sul - R23, R24, R25, R26";78;23;"SE"
"12/06/2020";"Pelotas - R21";10;21;"SU"
"12/06/2020";"Guaíba - R09";1;9;"ME"
"12/06/2020";"Palmeira das Missões - R15, R20";7;15;"NO"
"12/06/2020";"Cruz Alta - R12";1;12;"MI"
"12/06/2020";"Passo Fundo - R17, R18, R19";29;17;"NO"
"12/06/2020";"Bagé - R22";2;22;"SU"
"12/06/2020";"Ijuí - R13";2;13;"MI"
"12/06/2020";"Santa Maria - R01, R02";5;1;"CO"
"12/06/2020";"Lajeado - R29, R30";3;29;"VA"
"12/06/2020";"Canoas - R08";7;8;"ME"
"12/06/2020";"Capão da Canoa - R04, R05";6;4;"ME"
"12/06/2020";"Santo Ângelo - R11";20;11;"MI"
"10/06/2020";"Guaíba - R09";18;9;"ME"
"10/06/2020";"Capão da Canoa - R04, R05";14;4;"ME"
"10/06/2020";"Ijuí - R13";10;13;"MI"
"10/06/2020";"Palmeira das Missões - R15, R20";22;15;"NO"
"08/06/2020";"Porto Alegre - R10";6;10;"ME"
"08/06/2020";"Capão da Canoa - R04, R05";3;4;"ME"
"08/06/2020";"Novo Hamburgo - R07";6;7;"ME"
"08/06/2020";"Erechim - R16";10;16;"NO"
"08/06/2020";"Caxias do Sul - R23, R24, R25, R26";25;23;"SE"
"08/06/2020";"Cachoeira do Sul - R27";4;27;"VA"
"08/06/2020";"Pelotas - R21";2;21;"SU"
"08/06/2020";"Passo Fundo - R17, R18, R19";25;17;"NO"
"08/06/2020";"Bagé - R22";3;22;"SU"
"08/06/2020";"Guaíba - R09";2;9;"ME"
"08/06/2020";"Lajeado - R29, R30";4;29;"VA"
"08/06/2020";"Canoas - R08";4;8;"ME"
"08/06/2020";"Cruz Alta - R12";2;12;"MI"
"08/06/2020";"Ijuí - R13";5;13;"MI"
"08/06/2020";"Palmeira das Missões - R15, R20";4;15;"NO"
"05/06/2020";"Santo Ângelo - R11";7;11;"MI"
"05/06/2020";"Uruguaiana - R03";5;3;"CO"
"05/06/2020";"Cruz Alta - R12";4;12;"MI"
"05/06/2020";"Pelotas - R21";7;21;"SU"
"10/06/2020";"Cruz Alta - R12";6;12;"MI"
"08/06/2020";"Taquara - R06";2;6;"ME"
"08/06/2020";"Santa Cruz do Sul - R28";1;28;"VA"
"08/06/2020";"Santa Maria - R01, R02";4;1;"CO"
"08/06/2020";"Santo Ângelo - R11";1;11;"MI"
"08/06/2020";"Santa Rosa - R14";1;14;"MI"
"12/06/2020";"Uruguaiana - R03";11;3;"CO"
"11/06/2020";"Palmeira das Missões - R15, R20";14;15;"NO"
"11/06/2020";"Santa Maria - R01, R02";11;1;"CO"
"13/06/2020";"Caxias do Sul - R23, R24, R25, R26";25;23;"SE"
"13/06/2020";"Porto Alegre - R10";45;10;"ME"
"13/06/2020";"Novo Hamburgo - R07";20;7;"ME"
"13/06/2020";"Capão da Canoa - R04, R05";5;4;"ME"
"13/06/2020";"Guaíba - R09";1;9;"ME"
"13/06/2020";"Lajeado - R29, R30";20;29;"VA"
"13/06/2020";"Erechim - R16";10;16;"NO"
"13/06/2020";"Palmeira das Missões - R15, R20";9;15;"NO"
"13/06/2020";"Ijuí - R13";2;13;"MI"
"10/06/2020";"Taquara - R06";3;6;"ME"
"11/06/2020";"Santa Rosa - R14";3;14;"MI"
"13/06/2020";"Passo Fundo - R17, R18, R19";51;17;"NO"
"13/06/2020";"Pelotas - R21";15;21;"SU"
"11/06/2020";"Taquara - R06";2;6;"ME"
"05/06/2020";"Santa Cruz do Sul - R28";2;28;"VA"
"05/06/2020";"Guaíba - R09";6;9;"ME"
"05/06/2020";"Taquara - R06";3;6;"ME"
"09/06/2020";"Pelotas - R21";4;21;"SU"
"12/06/2020";"Porto Alegre - R10";14;10;"ME"
"12/06/2020";"Santa Rosa - R14";2;14;"MI"
"12/06/2020";"Santa Cruz do Sul - R28";2;28;"VA"
"13/06/2020";"Uruguaiana - R03";4;3;"CO"
"10/06/2020";"Santa Maria - R01, R02";10;1;"CO"
"09/06/2020";"Erechim - R16";39;16;"NO"
"09/06/2020";"Guaíba - R09";6;9;"ME"
"06/06/2020";"Cachoeira do Sul - R27";1;27;"VA"
"06/06/2020";"Cruz Alta - R12";6;12;"MI"
"10/06/2020";"Pelotas - R21";6;21;"SU"
"07/06/2020";"Lajeado - R29, R30";8;29;"VA"
"07/06/2020";"Santa Maria - R01, R02";3;1;"CO"
"07/06/2020";"Porto Alegre - R10";30;10;"ME"
"07/06/2020";"Pelotas - R21";5;21;"SU"
"07/06/2020";"Cachoeira do Sul - R27";1;27;"VA"
"07/06/2020";"Capão da Canoa - R04, R05";6;4;"ME"
"07/06/2020";"Novo Hamburgo - R07";1;7;"ME"
